Year;Overall;Team;Player;Nat.;Pos;Age;To;Amateur Team;GP;G;A;PTS;+/-;PIM;GP;W;L;T/O;SV%;GAA
2013;5;Carolina Hurricanes;Elias Lindholm\lindhel01;SE;C;18;2019;Brynas (Sweden);384;70;127;197;-73;78;;;;;;
2013;6;Calgary Flames;Sean Monahan\monahse01;CA;C;18;2019;Ottawa (OHL);403;142;148;290;-19;82;;;;;;
2013;7;Edmonton Oilers;Darnell Nurse\nurseda01;CA;D;18;2019;Sault Ste. Marie (OHL);205;15;35;50;-4;162;;;;;;
2013;8;Buffalo Sabres;Rasmus Ristolainen\ristora01;FI;D;18;2019;TPS (Finland);356;32;123;155;-108;175;;;;;;
2013;9;Vancouver Canucks;Bo Horvat\horvabo01;CA;C;18;2019;London (OHL);306;78;92;170;-52;80;;;;;;
2013;10;Dallas Stars;Valeri Nichushkin\nichuva01;RU;RW;18;2019;Chelyabinsk (KHL);170;23;42;65;17;22;;;;;;
2013;11;Philadelphia Flyers;Samuel Morin\morinsa01;CA;D;18;2018;Rimouski (QMJHL);3;0;0;0;1;4;;;;;;
2013;12;Phoenix Coyotes;Max Domi\domima01;CA;C/LW;18;2019;London (OHL);231;40;105;145;-12;189;;;;;;
2013;13;Winnipeg Jets;Josh Morrissey\morrijo04;CA;D;18;2019;Prince Albert (WHL);174;14;39;53;22;87;;;;;;
2013;14;Columbus Blue Jackets;Alexander Wennberg\wennbal01;SE;C;18;2019;Djurgarden (Sweden-2);292;33;126;159;13;63;;;;;;
2013;15;New York Islanders;Ryan Pulock\pulocry01;CA;D;18;2019;Brandon (WHL);92;12;25;37;-5;21;;;;;;
2013;16;Buffalo Sabres;Nikita Zadorov\zadorni01;RU;D;18;2019;London (OHL);232;11;38;49;-36;256;;;;;;
2013;17;Ottawa Senators;Curtis Lazar\lazarcu01;CA;C/RW;18;2018;Edmonton (WHL);245;15;36;51;-16;59;;;;;;
2013;18;San Jose Sharks;Mirco Mueller\muellmi01;CH;D;18;2019;Everett (WHL);89;2;11;13;-10;21;;;;;;
2013;19;Columbus Blue Jackets;Kerby Rychel\rycheke01;US;LW;18;2018;Windsor (OHL);41;3;11;14;6;19;;;;;;
2013;20;Detroit Red Wings;Anthony Mantha\manthan01;CA;RW;18;2019;Val-D'Or (QMJHL);159;44;46;90;-9;113;;;;;;
2013;21;Toronto Maple Leafs;Frederik Gauthier\gauthfr01;CA;C;18;2019;Rimouski (QMJHL);44;3;2;5;-5;25;;;;;;
2013;22;Calgary Flames;Emile Poirier\poiriem01;CA;LW;18;2016;Gatineau (QMJHL);8;0;1;1;0;2;;;;;;
2013;23;Washington Capitals;Andre Burakovsky\burakan01;AT;LW;18;2019;Malmo (Sweden-2);261;51;70;121;26;63;;;;;;
2013;24;Vancouver Canucks;Hunter Shinkaruk\shinkhu01;CA;C/LW;18;2017;Medicine Hat (WHL);15;2;2;4;-7;4;;;;;;
2013;25;Montreal Canadiens;Michael McCarron\mccarmi01;US;RW;18;2018;USA U-18 (USHL);69;2;6;8;-15;110;;;;;;
2013;26;Anaheim Ducks;Shea Theodore\theodsh01;CA;D;18;2019;Seattle (WHL);123;11;36;47;-1;46;;;;;;
2013;27;Columbus Blue Jackets;Marko Dano\danoma01;AT;C;18;2019;Bratislava (KHL);132;19;26;45;2;45;;;;;;
2013;28;Calgary Flames;Morgan Klimchuk\klimcmo01;CA;LW;18;2018;Regina (WHL);1;0;0;0;0;0;;;;;;
2013;29;Dallas Stars;Jason Dickinson\dickija01;CA;C;18;2019;Guelph (OHL);45;5;4;9;-1;21;;;;;;
2013;30;Chicago Blackhawks;Ryan Hartman\hartmry01;US;RW;18;2019;Plymouth (OHL);172;31;36;67;16;144;;;;;;
2013;31;Florida Panthers;Ian McCoshen\mccosia01;US;D;18;2018;Waterloo (USHL);41;3;2;5;-10;25;;;;;;
2013;32;Colorado Avalanche;Chris Bigras\bigrach01;CA;D;18;2018;Owen Sound (OHL);46;1;3;4;-4;18;;;;;;
2013;33;Tampa Bay Lightning;Adam Erne\ernead01;US;LW;18;2019;Quebec (QMJHL);53;6;2;8;-11;24;;;;;;
2013;34;Montreal Canadiens;Jacob de La Rose\delarja01;SE;LW;18;2018;Leksand (Sweden-2);119;8;11;19;-16;51;;;;;;
2013;35;Buffalo Sabres;J.T. Compher\comphj.01;US;LW;18;2019;USA U-18 (USHL);95;19;13;32;-29;30;;;;;;
2013;36;Montreal Canadiens;Zachary Fucale\fucalza01;CA;G;18;;Halifax (QMJHL);;;;;;;;;;;;
2013;37;Los Angeles Kings;Valentin Zykov\zykovva01;RU;LW;18;2019;Baie-Comeau (QMJHL);19;4;6;10;5;2;;;;;;
2013;38;Buffalo Sabres;Connor Hurley\hurleco01;US;C;18;;Edina High (High-MN);;;;;;;;;;;;
2013;39;Phoenix Coyotes;Laurent Dauphin\dauphla01;CA;C;18;2018;Chicoutimi (QMJHL);34;3;1;4;-3;18;;;;;;
2013;40;Dallas Stars;Remi Elie\eliere01;CA;LW;18;2019;London (OHL);93;7;14;21;10;26;;;;;;
2013;41;Philadelphia Flyers;Robert Hagg\haggro01;SE;D;18;2019;Modo Jr. (Sweden-Jr.);81;5;9;14;5;44;;;;;;
2013;42;New Jersey Devils;Steven Santini\santist01;US;D;18;2019;USA U-18 (USHL);76;4;13;17;-4;37;;;;;;
2013;43;Winnipeg Jets;Nic Petan\petanni01;CA;C;18;2018;Portland (WHL);95;5;16;21;-11;28;;;;;;
2013;44;Pittsburgh Penguins;Tristan Jarry\jarrytr01;CA;G;18;2018;Edmonton (WHL);27;0;2;2;0;4;27;14;7;2;0,907;2,78
2013;45;Anaheim Ducks;Nick Sorensen\sorenni01;DK;RW;18;2017;Quebec (QMJHL);5;0;1;1;-1;2;;;;;;
2013;46;Minnesota Wild;Gustav Olofsson\olofsgu01;SE;D;18;2018;Green Bay (USHL);56;0;11;11;-1;16;;;;;;
2013;47;St. Louis Blues;Thomas Vannelli\vanneth01;US;D;18;;Minnetonka (High-MN);;;;;;;;;;;;
2013;48;Detroit Red Wings;Zach Nastasiuk\nastaza01;CA;RW;18;;Owen Sound (OHL);;;;;;;;;;;;
2013;49;San Jose Sharks;Gabryel Boudreau\boudrga01;CA;LW;18;;Baie-Comeau (QMJHL);;;;;;;;;;;;
2013;50;Columbus Blue Jackets;Dillon Heatherington\heathdi01;CA;D;18;2018;Swift Current (WHL);6;0;1;1;3;26;;;;;;
2013;51;Chicago Blackhawks;Carl Dahlstrom\dahlsca01;SE;D;18;2018;Linkoping Jr. (Sweden-Jr.);11;0;3;3;-2;0;;;;;;
2013;52;Buffalo Sabres;Justin Bailey\baileju01;US;RW;18;2018;Kitchener (OHL);52;5;3;8;-4;8;;;;;;
2013;53;Washington Capitals;Madison Bowey\boweyma01;CA;D;18;2019;Kelowna (WHL);53;0;12;12;-2;33;;;;;;
2013;54;Dallas Stars;Philippe Desrosiers\desroph01;CA;G;18;;Rimouski (QMJHL);;;;;;;;;;;;
2013;55;Montreal Canadiens;Artturi Lehkonen\lehkoar01;FI;LW;18;2019;Kalpa (Finland);148;31;24;55;-9;32;;;;;;
2013;56;Edmonton Oilers;Marc-Olivier Roy\royma03;CA;C;18;;Blainville-Boisbriand (QMJHL);;;;;;;;;;;;
2013;57;St. Louis Blues;William Carrier\carriwi01;CA;LW;18;2019;Cape Breton (QMJHL);87;6;6;12;-5;42;;;;;;
2013;58;Detroit Red Wings;Tyler Bertuzzi\bertuty01;CA;LW;18;2019;Guelph (OHL);64;9;20;29;-10;56;;;;;;
2013;59;Winnipeg Jets;Eric Comrie\comrier01;CA;G;18;2018;Tri-City (WHL);4;0;0;0;0;0;4;2;2;0;0,88;4
2013;60;Boston Bruins;Linus Arnesson\arnesli01;SE;D;18;;Djurgarden (Sweden-2);;;;;;;;;;;;
2013;61;Washington Capitals;Zachary Sanford\sanfoza01;US;LW;18;2019;Islanders (EJHL);43;6;5;11;6;10;;;;;;
2013;62;Phoenix Coyotes;Pavel Laplante\laplapa01;CA;C;18;;PEI (QMJHL);;;;;;;;;;;;
2013;63;Colorado Avalanche;Spencer Martin\martisp01;CA;G;18;2017;Mississauga (OHL);3;0;0;0;0;0;3;0;2;1;0,865;4,35
2013;64;Nashville Predators;Jonathan Diaby\diabyjo01;CA;D;18;;Victoriaville (QMJHL);;;;;;;;;;;;
2013;65;New York Rangers;Adam Tambellini\tambead01;CA;C;18;;Surrey (BCHL);;;;;;;;;;;;
2013;66;Carolina Hurricanes;Brett Pesce\pescebr01;US;D;18;2019;New Hampshire (H-East);225;11;47;58;17;58;;;;;;
2013;67;Calgary Flames;Keegan Kanzig\kanzike01;CA;D;18;;Victoria (WHL);;;;;;;;;;;;
2013;68;Dallas Stars;Niklas Hansson\hanssni01;SE;D;18;;Rogle Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;69;Buffalo Sabres;Nicholas Baptiste\baptini01;CA;RW;18;2018;Sudbury (OHL);47;7;3;10;-3;20;;;;;;
2013;70;New York Islanders;Eamon McAdam\mcadaea01;US;G;18;;Waterloo (USHL);;;;;;;;;;;;
2013;71;Montreal Canadiens;Connor Crisp\crispco01;CA;LW;19;;Erie (OHL);;;;;;;;;;;;
2013;72;Philadelphia Flyers;Tyrell Goulbourne\goulbty01;CA;LW;19;2018;Kelowna (WHL);9;0;0;0;-2;2;;;;;;
2013;73;New Jersey Devils;Ryan Kujawinski\kujawry01;CA;C;18;;Kingston (OHL);;;;;;;;;;;;
2013;74;Chicago Blackhawks;John Hayden\haydejo01;US;C;18;2019;USA U-18 (USHL);65;6;12;18;-3;60;;;;;;
2013;75;New York Rangers;Pavel Buchnevich\buchnpa01;RU;LW;18;2019;Cherepovets 2 (Russia-Jr.);124;25;42;67;3;33;;;;;;
2013;76;New York Islanders;Taylor Cammarata\cammata01;US;C/LW;18;;Waterloo (USHL);;;;;;;;;;;;
2013;77;Pittsburgh Penguins;Jake Guentzel\guentja01;US;C;18;2019;Sioux City (USHL);130;43;43;86;-2;52;;;;;;
2013;78;Ottawa Senators;Marcus Hogberg\hogbema01;SE;G;18;;Linkoping Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;79;Detroit Red Wings;Mattias Janmark\janmama02;SE;C;20;2019;AIK (Sweden);163;35;29;64;-7;44;;;;;;
2013;80;New York Rangers;Anthony Duclair\duclaan01;CA;LW;18;2019;Quebec (QMJHL);222;41;54;95;4;85;;;;;;
2013;81;Minnesota Wild;Kurtis Gabriel\gabriku01;CA;RW;20;2017;Owen Sound (OHL);16;0;1;1;1;39;;;;;;
2013;82;Toronto Maple Leafs;Carter Verhaeghe\verhaca01;CA;C;18;;Niagara (OHL);;;;;;;;;;;;
2013;83;Edmonton Oilers;Bogdan Yakimov\yakimbo01;RU;C;18;2015;Nizhnekamsk 2 (Russia-Jr.);1;0;0;0;-1;0;;;;;;
2013;84;Winnipeg Jets;Jimmy Lodge\lodgeji01;US;C;18;;Saginaw (OHL);;;;;;;;;;;;
2013;85;Vancouver Canucks;Cole Cassels\casseco01;US;C;18;;Oshawa (OHL);;;;;;;;;;;;
2013;86;Montreal Canadiens;Sven Andrighetto\andrisv01;CH;RW;20;2019;Rouyn-Noranda (QMJHL);156;25;42;67;-11;28;;;;;;
2013;87;Anaheim Ducks;Keaton Thompson\thompke02;US;D;18;;USA U-18 (USHL);;;;;;;;;;;;
2013;88;Edmonton Oilers;Anton Slepyshev\slepyan01;RU;LW;19;2018;Ufa (Russia);102;10;13;23;-4;14;;;;;;
2013;89;Columbus Blue Jackets;Oliver Bjorkstrand\bjorkol01;DK;RW;18;2019;Portland (WHL);129;22;42;64;12;15;;;;;;
2013;90;Boston Bruins;Peter Cehlarik\cehlape01;SK;LW;18;2018;Lulea Jr. (Sweden-Jr.);17;1;3;4;2;2;;;;;;
2013;91;Winnipeg Jets;J.C. Lipon\liponj.01;CA;RW;20;2016;Kamloops (WHL);9;0;1;1;0;5;;;;;;
2013;92;Florida Panthers;Evan Cowley\cowleev01;CA;G;18;;Wichita Falls (NAHL);;;;;;;;;;;;
2013;93;Colorado Avalanche;Mason Geertsen\geertma01;CA;D;18;;Vancouver (WCHL);;;;;;;;;;;;
2013;94;Edmonton Oilers;Jackson Houck\houckja01;CA;RW;18;;Vancouver (WCHL);;;;;;;;;;;;
2013;95;Nashville Predators;Felix Girard\girarfe01;CA;C;19;;Baie-Comeau (QMJHL);;;;;;;;;;;;
2013;96;Edmonton Oilers;Kyle Platzer\platzky01;CA;C;18;;London (OHL);;;;;;;;;;;;
2013;97;Florida Panthers;Michael Downing\downimi01;US;D;18;;Dubuque (USHL);;;;;;;;;;;;
2013;98;Florida Panthers;Matt Buckles\bucklma01;CA;C;18;;St. Michaels (OJHL);;;;;;;;;;;;
2013;99;Nashville Predators;Juuse Saros\sarosju01;FI;G;18;2019;HPK Jr. (Finland-Jr.);54;0;4;4;0;0;54;26;15;10;0,923;2,42
2013;100;New Jersey Devils;Miles Wood\woodmi01;US;LW;18;2019;Nobles (High-MA);144;27;25;52;-31;181;;;;;;
2013;101;Dallas Stars;Nicholas Paul\paulni01;CA;LW;18;2018;Brampton (OHL);36;3;3;6;-9;6;;;;;;
2013;102;Ottawa Senators;Tobias Lindberg\lindbto01;SE;RW;18;2016;Djurgarden Jr. (Sweden-Jr.);6;0;2;2;0;4;;;;;;
2013;103;Los Angeles Kings;Justin Auger\augerju01;CA;RW;19;2018;Guelph (OHL);2;0;0;0;-1;0;;;;;;
2013;104;Winnipeg Jets;Andrew Copp\coppan01;US;C;19;2019;Michigan (CCHA);234;26;35;61;36;40;;;;;;
2013;105;Columbus Blue Jackets;Nick Moutrey\moutrni01;CA;C/LW;18;;Saginaw (OHL);;;;;;;;;;;;
2013;106;New York Islanders;Stephon Williams\willist01;US;G;20;;Minnesota State (WCHA);;;;;;;;;;;;
2013;107;Minnesota Wild;Dylan Labbe\labbedy01;CA;D;18;;Shawinigan (QMJHL);;;;;;;;;;;;
2013;108;Ottawa Senators;Ben Harpur\harpube01;CA;D;18;2019;Guelph (OHL);55;0;2;2;-18;23;;;;;;
2013;109;Detroit Red Wings;David Pope\popeda01;CA;LW;18;;West Kelowna (BCHL);;;;;;;;;;;;
2013;110;New York Rangers;Ryan Graves\gravery01;CA;D;18;;PEI (QMJHL);;;;;;;;;;;;
2013;111;Chicago Blackhawks;Robin Norell\norelro01;SE;D;18;;Djurgarden Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;112;St. Louis Blues;Zach Pochiro\pochiza01;US;LW;19;;Prince George (WHL);;;;;;;;;;;;
2013;113;Edmonton Oilers;Aidan Muir\muirai01;CA;W;18;;Victory Honda Midget (MWEHL);;;;;;;;;;;;
2013;114;Winnipeg Jets;Jan Kostalek\kostaja02;CZ;D;18;;Rimouski (QMJHL);;;;;;;;;;;;
2013;115;Vancouver Canucks;Jordan Subban\subbajo01;CA;D;18;;Belleville (OHL);;;;;;;;;;;;
2013;116;Montreal Canadiens;Martin Reway\rewayma01;CZ;LW;18;;Gatineau (QMJHL);;;;;;;;;;;;
2013;117;San Jose Sharks;Fredrik Bergvik\bergvfr01;SE;G;18;;Frolunda Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;118;Los Angeles Kings;Hudson Fasching\faschhu01;US;RW;18;2018;USA U-18 (USHL);22;1;2;3;0;8;;;;;;
2013;119;Pittsburgh Penguins;Ryan Segalla\segalry01;US;D;18;;Salisbury (HIGH-CT);;;;;;;;;;;;
2013;120;Boston Bruins;Ryan Fitzgerald\fitzgry01;US;C;18;;Valley (EJHL);;;;;;;;;;;;
2013;121;Chicago Blackhawks;Tyler Motte\mottety01;US;C;18;2019;USA U-18 (USHL);88;10;6;16;-3;20;;;;;;
2013;122;Florida Panthers;Christopher Clapperton\clappch01;CA;LW;19;;Blainville-Boisbriand (QMJHL);;;;;;;;;;;;
2013;123;Colorado Avalanche;Will Butcher\butchwi01;US;D;18;2019;USA U-18 (USHL);88;5;43;48;0;8;;;;;;
2013;124;Tampa Bay Lightning;Kristers Gudlevskis\gudlekr01;LV;G;21;2017;Riga 2 (Russia-Jr.);3;0;0;0;0;0;3;1;0;1;0,959;1,37
2013;125;Nashville Predators;Saku Maenalanen\maenasa01;FI;RW;19;;Karpat Jr. (Finland-Jr.);;;;;;;;;;;;
2013;126;Carolina Hurricanes;Brent Pedersen\pederbr01;CA;LW;18;;Kitchener (OHL);;;;;;;;;;;;
2013;127;Winnipeg Jets;Tucker Poolman\poolmtu01;US;D;20;2018;Omaha (USHL);24;1;1;2;2;0;;;;;;
2013;128;Edmonton Oilers;Evan Campbell\campbev01;CA;LW;20;;Langley (BCHL);;;;;;;;;;;;
2013;129;Buffalo Sabres;Calvin Petersen\peterca01;US;G;18;;Waterloo (USHL);;;;;;;;;;;;
2013;130;Buffalo Sabres;Gustav Possler\posslgu01;SE;RW;18;;Modo Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;131;Dallas Stars;Cole Ully\ullyco01;CA;LW;18;;Kamloops (WHL);;;;;;;;;;;;
2013;132;Philadelphia Flyers;Terrance Amorosa\amorote01;CA;D;18;;Holderness (High-NH);;;;;;;;;;;;
2013;133;Phoenix Coyotes;Connor Clifton\cliftco01;US;D;18;;USA U-18 (USHL);;;;;;;;;;;;
2013;134;Chicago Blackhawks;Luke Johnson\johnslu01;US;C;18;2019;Lincoln (USHL);5;0;0;0;-1;8;;;;;;
2013;135;Calgary Flames;Eric Roy\royer03;CA;D;18;;Brandon (WHL);;;;;;;;;;;;
2013;136;New York Islanders;Victor CrusRydberg\crusrvi01;SE;C;18;;Linkoping Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;137;Minnesota Wild;Carson Soucy\soucyca01;CA;D;19;2018;Spruce Grove (AJHL);3;0;0;0;-2;2;;;;;;
2013;138;Ottawa Senators;Vincent Dunn\dunnvi01;CA;C;18;;Val-D'Or (QMJHL);;;;;;;;;;;;
2013;139;Detroit Red Wings;Mitchell Wheaton\wheatmi01;CA;D;18;;Kelowna (WHL);;;;;;;;;;;;
2013;140;Nashville Predators;Teemu Kivihalme\kivihte01;US;D;18;;Burnsville (High-MN);;;;;;;;;;;;
2013;141;San Jose Sharks;Michael Brodzinski\brodzmi01;US;D;18;;Muskegon (USHL);;;;;;;;;;;;
2013;142;Toronto Maple Leafs;Fabrice Herzog\herzofa01;CH;RW;18;;Zug Jr. (Swiss-Jr.);;;;;;;;;;;;
2013;143;Buffalo Sabres;Anthony Florentino\florean01;US;D;18;;Selects U18 - South Kent (HIGH-CT);;;;;;;;;;;;
2013;144;Washington Capitals;Blake Heinrich\heinrbl01;US;D;18;;Sioux City (USHL);;;;;;;;;;;;
2013;145;Vancouver Canucks;Anton Cederholm\cederan01;SE;D;18;;Rogle Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;146;Los Angeles Kings;Patrik Bartosak\bartopa01;CZ;G;20;;Red Deer (WHL);;;;;;;;;;;;
2013;147;Anaheim Ducks;Grant Besse\bessegr01;US;RW;19;;Benilde-St.Margaret's (High-MN);;;;;;;;;;;;
2013;148;Los Angeles Kings;Jonny Brodzinski\brodzjo01;US;C;20;2018;St. Cloud State (WCHA);41;4;4;8;6;8;;;;;;
2013;149;Dallas Stars;Matej Paulovic\pauloma01;SK;LW;18;;Farjestad Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;150;Boston Bruins;Wiley Sherman\shermwi01;US;D;18;;Hotchkiss School (HIGH-CT);;;;;;;;;;;;
2013;151;San Jose Sharks;Gage Ausmus\ausmuga01;US;D;18;;USA U-18 (USHL);;;;;;;;;;;;
2013;152;Florida Panthers;Joshua Brown\brownjo01;CA;D;19;;Oshawa (OHL);;;;;;;;;;;;
2013;153;Colorado Avalanche;Ben Storm\stormbe01;US;D;19;;Muskegon (USHL);;;;;;;;;;;;
2013;154;Tampa Bay Lightning;Henri Ikonen\ikonehe01;FI;LW;19;;Kingston (OHL);;;;;;;;;;;;
2013;155;Nashville Predators;Emil Pettersson\petteem01;SE;C;19;;Timra Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;156;Carolina Hurricanes;Tyler Ganly\ganlyty01;CA;D;18;;Sault Ste. Marie (OHL);;;;;;;;;;;;
2013;157;Calgary Flames;Tim Harrison\harriti01;US;RW;19;;Dexter Prep (High-MA);;;;;;;;;;;;
2013;158;Edmonton Oilers;Ben Betker\betkebe01;CA;D;18;;Everett (WHL);;;;;;;;;;;;
2013;159;Buffalo Sabres;Sean Malone\malonse01;US;C;18;2017;USA U-18 (USHL);1;0;0;0;0;0;;;;;;
2013;160;New Jersey Devils;Myles Bell\bellmy01;CA;RW;20;;Kelowna (WHL);;;;;;;;;;;;
2013;161;Ottawa Senators;Chris Leblanc\leblach01;US;RW;20;;South Shore (EJHL);;;;;;;;;;;;
2013;162;Philadelphia Flyers;Merrick Madsen\madseme01;US;G;18;;Proctor Academy (High-NH);;;;;;;;;;;;
2013;163;Phoenix Coyotes;Brendan Burke\burkebr01;US;G;18;;Portland (WHL);;;;;;;;;;;;
2013;164;Pittsburgh Penguins;Dane Birks\birksda01;CA;D;18;;Merritt (BCHL);;;;;;;;;;;;
2013;165;Columbus Blue Jackets;Markus Soberg\soberma01;NO;RW;18;;Frolunda Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;166;New York Islanders;Alan Quine\quineal01;CA;C;20;2018;Belleville (OHL);84;6;16;22;-4;12;;;;;;
2013;167;Minnesota Wild;Avery Peterson\peterav01;US;C;18;;Grand Rapids (High-MN);;;;;;;;;;;;
2013;168;Ottawa Senators;Quentin Shore\shorequ01;US;C;19;;Denver (WCHA);;;;;;;;;;;;
2013;169;Detroit Red Wings;Marc McNulty\mcnulma01;CA;D;18;;Prince George (WHL);;;;;;;;;;;;
2013;170;New York Rangers;Mackenzie Skapski\skapsma01;CA;G;19;2015;Kootenay (WHL);2;0;0;0;0;0;2;2;0;0;0,978;0,5
2013;171;Nashville Predators;Tommy Veilleux\veillto01;CA;LW;18;;Victoriaville (QMJHL);;;;;;;;;;;;
2013;172;Toronto Maple Leafs;Antoine Bibeau\bibeaan01;CA;G;19;2017;PEI (QMJHL);2;0;0;0;0;0;2;1;1;0;0,927;1,99
2013;173;St. Louis Blues;Santeri Saari\saarisa01;FI;D;18;;Jokerit Jr. (Finland-Jr.);;;;;;;;;;;;
2013;174;Washington Capitals;Brian Pinho\pinhobr01;US;C;18;;St. John'S Prep (High-MA);;;;;;;;;;;;
2013;175;Vancouver Canucks;Mike Williamson\willimi01;CA;D;20;;Spruce Grove (AJHL);;;;;;;;;;;;
2013;176;Montreal Canadiens;Jeremy Gregoire\gregoje01;CA;C;18;;Baie-Comeau (QMJHL);;;;;;;;;;;;
2013;177;Anaheim Ducks;Miro Aaltonen\aaltomi01;FI;C;20;;Blues (Finland);;;;;;;;;;;;
2013;178;Los Angeles Kings;Zachary Leslie\lesliza01;CA;D;19;;Guelph (OHL);;;;;;;;;;;;
2013;179;Pittsburgh Penguins;Blaine Byron\byronbl01;CA;C;18;;Smiths Falls (CCHL);;;;;;;;;;;;
2013;180;Boston Bruins;Anton Blidh\blidhan01;SE;LW;18;2018;Frolunda Jr. (Sweden-Jr.);20;1;1;2;-2;7;;;;;;
2013;181;Chicago Blackhawks;Anthony Louis\louisan01;US;C;18;;USA U-18 (USHL);;;;;;;;;;;;
2013;182;Dallas Stars;Aleksi Makela\makelal01;FI;D;18;;Ilves Jr. (Finland-Jr.);;;;;;;;;;;;
2013;183;Colorado Avalanche;Wilhelm Westlund\westlwi01;SE;D;18;;Farjestad Jr. (Sweden-Jr.);;;;;;;;;;;;
2013;184;Tampa Bay Lightning;Saku Salminen\salmisa01;FI;C;18;;K-Vantaa (Finland-2);;;;;;;;;;;;
2013;185;Nashville Predators;Wade Murphy\murphwa01;CA;RW;19;;Penticton (BCHL);;;;;;;;;;;;
2013;186;Tampa Bay Lightning;Joel Vermin\vermijo01;CH;RW;21;2017;Bern (Swiss);24;0;4;4;3;4;;;;;;
2013;187;Calgary Flames;Rushan Rafikov\rafikru01;RU;D;18;;Yaroslavl 2 (Russia-Jr.);;;;;;;;;;;;
2013;188;Edmonton Oilers;Gregory Chase\chasegr01;CA;C/RW;18;;Calgary (WHL);;;;;;;;;;;;
2013;189;Buffalo Sabres;Eric Locke\lockeer01;US;C;19;;Saginaw (OHL);;;;;;;;;;;;
2013;190;Winnipeg Jets;Brenden Kichton\kichtbr01;CA;D;21;;Spokane (WHL);;;;;;;;;;;;
2013;191;Los Angeles Kings;Dominik Kubalik\kubaldo01;CZ;LW;18;;Sudbury (OHL);;;;;;;;;;;;
2013;192;Philadelphia Flyers;David Drake\drakeda02;US;D;18;;Des Moines (USHL);;;;;;;;;;;;
2013;193;Phoenix Coyotes;Jedd Soleway\solewje01;CA;C;19;;Penticton (BCHL);;;;;;;;;;;;
2013;194;Winnipeg Jets;Marcus Karlstrom\karlsma02;SE;D;18;;AIK U18 (Sweden-Jr.);;;;;;;;;;;;
2013;195;Columbus Blue Jackets;Peter Quenneville\quennpe01;CA;C/RW;19;;Dubuque (USHL);;;;;;;;;;;;
2013;196;New York Islanders;Kyle Burroughs\burroky01;CA;D;18;;Regina (WHL);;;;;;;;;;;;
2013;197;Minnesota Wild;Nolan De Jong\dejonno01;CA;D;18;;Victoria (WHL);;;;;;;;;;;;
2013;198;Calgary Flames;John Gilmour\gilmojo01;CA;D;20;2018;Providence (H-East);28;2;3;5;-11;14;;;;;;
2013;199;Detroit Red Wings;Hampus Melen\melenha01;SE;RW;18;;Tingsryd (Sweden-Jr.);;;;;;;;;;;;
2013;200;Minnesota Wild;Alexandre Belanger\belanal02;CA;G;18;;Rouyn-Noranda (QMJHL);;;;;;;;;;;;
2013;201;San Jose Sharks;Jacob Jackson\jacksja02;US;C;18;;Tartan (High-MN);;;;;;;;;;;;
2013;202;Toronto Maple Leafs;Andreas Johnson\johnsan01;SE;LW;18;2019;Frolunda Jr. (Sweden-Jr.);15;2;2;4;-3;6;;;;;;
2013;203;Nashville Predators;Janne Juvonen\juvonja01;FI;G;18;;Pelicans Jr. (Finland-Jr.);;;;;;;;;;;;
2013;204;Washington Capitals;Tyler Lewington\lewinty01;CA;D;18;;Medicine Hat (WHL);;;;;;;;;;;;
2013;205;Vancouver Canucks;Miles Liberati\libermi01;US;D;18;;London (OHL);;;;;;;;;;;;
2013;206;Florida Panthers;MacKenzie Weegar\weegama01;CA;D;19;2019;Halifax (QMJHL);68;2;7;9;5;38;;;;;;
2013;207;San Jose Sharks;Emil Galimov\galimem01;RU;LW;21;;Yaroslavl (Russia);;;;;;;;;;;;
2013;208;New Jersey Devils;Anthony Brodeur\brodean01;US;G;18;;Shattuck-St.Marys Prep (High-MN);;;;;;;;;;;;
2013;209;Pittsburgh Penguins;Troy Josephs\joseptr01;CA;C;19;;St. Michaels (OJHL);;;;;;;;;;;;
2013;210;Boston Bruins;Mitchell Dempsey\dempsmi01;CA;LW;18;;Sault Ste. Marie (OHL);;;;;;;;;;;;
2013;211;Chicago Blackhawks;Robin Press\pressro01;SE;D;18;;Sodertalje (Sweden-2);;;;;;;;;;;;
2012;1;Edmonton Oilers;Nail Yakupov\yakupna01;RU;RW;18;2018;Sarnia (OHL);350;62;74;136;-89;142;;;;;;
2012;2;Columbus Blue Jackets;Ryan Murray\murrary01;CA;D;18;2019;Everett (WHL);273;12;65;77;-1;90;;;;;;
2012;3;Montreal Canadiens;Alex Galchenyuk\galchal01;US;C;18;2019;Sarnia (OHL);420;108;148;256;-34;151;;;;;;
2012;4;New York Islanders;Griffin Reinhart\reinhgr01;CA;D;18;2016;Edmonton (WHL);37;0;2;2;-5;26;;;;;;
2012;5;Toronto Maple Leafs;Morgan Rielly\riellmo01;CA;D;18;2019;Moose Jaw (WHL);398;35;150;185;-65;89;;;;;;
